"id_materi","id_kelasb"
7,487
7,486
6,488
6,487
6,486
5,487
4,486
3,42
2,488
1,488
1,487
1,486
7,488
8,487
9,488
23,1437
14,1191
13,1212
23,1436
72,1191
16,1217
16,1218
17,1217
17,1218
18,1256
18,1257
91,1257
91,1256
20,1258
20,1259
21,1287
22,1287
24,1437
24,1436
25,1437
25,1436
26,1436
26,1437
27,1436
27,1437
28,1436
28,1437
29,1436
29,1437
30,1436
30,1437
31,1436
31,1437
32,1436
32,1437
33,1436
33,1437
34,1436
34,1437
35,1436
35,1437
36,1436
36,1437
37,1436
37,1437
38,1437
38,1436
39,1436
39,1437
40,1436
40,1437
41,1437
41,1436
43,1437
43,1436
44,787
45,798
46,799
47,1087
47,1088
48,1087
48,1088
49,1116
50,1116
81,1255
81,1254
53,1215
53,1216
53,1219
54,1240
54,1241
54,1242
54,1243
54,1244
54,1245
55,1240
55,1241
55,1242
55,1243
55,1244
55,1245
56,1232
56,1233
57,1207
58,809
59,1268
59,1269
59,1270
102,1267
102,1266
102,1265
102,1264
102,1263
61,1417
61,1418
62,1253
63,1253
64,805
151,1239
151,1238
66,1234
66,1235
66,1236
66,1237
67,1214
70,1209
71,1219
71,1216
71,1215
73,1424
73,1425
73,1426
74,1435
75,1255
75,1254
76,1430
76,1429
77,1277
77,1278
78,1251
79,1213
80,1247
80,1248
83,959
84,1215
84,1216
84,1219
85,1442
86,1442
87,1439
88,1232
88,1233
89,1207
96,1224
96,1223
92,1251
93,1277
93,1278
95,1262
97,1223
98,1224
99,1268
100,1269
101,1270
103,908
104,909
105,911
106,958
107,1041
108,1412
109,1406
109,1407
110,1227
110,1228
111,1212
112,1223
182,789
115,1224
116,1282
116,1283
119,1262
238,1428
238,1427
121,1441
122,1441
123,1441
124,1441
125,1441
126,1202
127,1202
128,1230
128,1231
129,1273
129,1274
130,1284
131,1284
132,1284
133,1284
134,1284
135,1284
136,1441
137,783
138,783
139,783
140,783
141,783
142,783
143,783
144,783
149,773
146,1258
146,1259
147,1164
148,1163
150,1238
150,1239
152,1238
152,1239
153,1238
153,1239
154,1219
154,1216
154,1215
155,1254
155,1255
156,1240
156,1241
156,1242
156,1243
156,1244
156,1245
157,1407
158,1407
159,1258
159,1259
173,1218
173,1217
161,1257
161,1256
162,1287
163,1238
163,1239
164,1436
164,1437
165,1436
165,1437
166,1436
166,1437
167,1436
167,1437
168,1232
169,1280
169,1281
170,805
171,1207
172,777
174,1251
175,1234
175,1235
175,1236
175,1237
176,1203
177,1429
177,1430
181,812
179,1442
183,1234
183,1235
183,1236
183,1237
184,940
185,940
186,1269
187,1233
188,1191
189,1247
189,1248
190,1412
190,1041
191,772
192,772
193,772
194,772
195,772
477,772
197,772
413,772
199,772
200,772
201,772
202,772
203,772
204,772
205,772
206,772
207,772
208,1223
208,1224
