NIM,KODE,SKS,HARGA,GRUP,NILAI,SEMESTER,TH_AJARAN
31960594,BI2264,4,5,A,E,GENAP,1998/1999
31960594,BI2304,4,5,A,D,GENAP,1998/1999
31960607,BI1073,3,4,A,B,GENAP,1998/1999
31960607,BI2304,4,5,A,C,GENAP,1998/1999
31960607,BI2264,4,5,A,E,GENAP,1998/1999
31960607,MU2102,2,2,A,B,GENAP,1998/1999
31960607,BI2304,4,5,A,E,GENAP,1998/1999
31960621,BI1412,2,2,A,B,GENAP,1998/1999
31960621,BI2452,2,2,A,B,GENAP,1998/1999
31960621,BI2492,2,2,A,C,GENAP,1998/1999
31960621,BI3535,4,5,A,B,GENAP,1998/1999
31960621,BI3543,3,4,A,A,GENAP,1998/1999
31960621,BI3553,3,3,A,C,GENAP,1998/1999
31960621,BI4853,3,4,A,B,GENAP,1998/1999
31960621,BI1073,3,4,A,D,GENAP,1998/1999
31960621,BI4612,2,2,A,D,GENAP,1998/1999
31970641,BI1073,3,4,A,D,GENAP,1998/1999
31970641,BI1064,4,5,A,E,GENAP,1998/1999
31970641,BI2103,3,4,A,E,GENAP,1998/1999
31970641,MU1032,2,2,A,D,GENAP,1998/1999
31970641,BI2113,3,4,A,C,GENAP,1998/1999
31970650,BI2103,3,4,A,B,GENAP,1998/1999
31970650,BI2113,3,4,A,C,GENAP,1998/1999
31970650,BI1073,3,4,A,E,GENAP,1998/1999
31980654,BI1042,2,2,A,D,GENAP,1998/1999
31980654,BI1064,4,5,A,C,GENAP,1998/1999
31980654,BI1073,3,4,A,B,GENAP,1998/1999
31980654,MU1032,2,2,A,D,GENAP,1998/1999
31980654,BI2103,3,4,A,C,GENAP,1998/1999
31980654,BI2113,3,4,A,D,GENAP,1998/1999
31980654,BI1092,2,2,A,C,GENAP,1998/1999
31980683,BI1064,4,5,A,D,GENAP,1998/1999
31980683,BI1042,2,2,A,C,GENAP,1998/1999
31980683,BI2113,3,4,A,D,GENAP,1998/1999
31980683,MU1032,2,2,A,E,GENAP,1998/1999
31980683,BI1073,3,4,A,B,GENAP,1998/1999
31980683,BI1092,2,2,A,C,GENAP,1998/1999
31930445,BI3474,4,5,A,D,GASAL,1999/2000
31930445,BI4642,2,2,A,C,GASAL,1999/2000
31930445,BI4582,2,2,A,B,GASAL,1999/2000
31930445,BI4602,2,2,A,C,GASAL,1999/2000
31930445,BI3722,2,2,A,E,GASAL,1999/2000
31950531,BI2443,3,4,A,E,GASAL,1999/2000
31950531,BI3722,2,2,A,E,GASAL,1999/2000
31950531,BI3474,4,5,A,D,GASAL,1999/2000
31950531,MU3022,2,2,A,C,GASAL,1999/2000
31950531,BI2254,4,5,A,C,GASAL,1999/2000
31950531,MU3042,2,2,A,C,GASAL,1999/2000
31950531,BI3812,2,2,A,B,GASAL,1999/2000
31950531,BI3502,2,2,A,E,GASAL,1999/2000
31950533,BI4642,2,2,A,D,GASAL,1999/2000
31950533,BI3474,4,5,A,D,GASAL,1999/2000
31950533,BI4862,2,2,A,E,GASAL,1999/2000
31950533,BI4582,2,2,A,C,GASAL,1999/2000
31950533,BI2254,4,5,A,D,GASAL,1999/2000
31950533,MU1032,2,2,A,D,GASAL,1999/2000
31950540,BI1204,4,5,A,D,GASAL,1999/2000
31950540,BI1403,3,3,A,C,GASAL,1999/2000
31950540,BI2272,2,2,A,C,GASAL,1999/2000
